scenario,method,hour,mean_cumulative_false_alert_probability,n_defined
S2,PaFAR-T,71,0.09431520000000004,500
S2,PaFAR-T,72,0.09482400000000003,500
S2,PaFAR-T,73,0.09519919999999998,500
S2,PaFAR-T,74,0.09558919999999996,500
S2,PaFAR-T,75,0.09593559999999994,500
S2,PaFAR-T,76,0.09632359999999994,500
S2,PaFAR-T,77,0.09667759999999996,500
S2,PaFAR-T,78,0.09700319999999998,500
S2,PaFAR-T,79,0.09730320000000002,500
S2,PaFAR-T,80,0.09757519999999997,500
S2,PaFAR-T,81,0.09782359999999997,500
S2,PaFAR-T,82,0.09804480000000003,500
S2,PaFAR-T,83,0.09822280000000005,500
S2,PaFAR-T,84,0.09836280000000007,500
S2,PaFAR-T,85,0.09849040000000002,500
S2,PaFAR-T,86,0.09858279999999998,500
S2,PaFAR-T,87,0.098664,500
S2,PaFAR-T,88,0.09871960000000002,500
S2,PaFAR-T,89,0.09876880000000002,500
S2,PaFAR-T,90,0.09879760000000004,500
S2,PaFAR-T,91,0.09882040000000003,500
S2,PaFAR-T,92,0.09883600000000002,500
S2,PaFAR-T,93,0.09884160000000003,500
S2,PaFAR-T,94,0.09884800000000003,500
S2,PaFAR-T,95,0.09885360000000003,500
S2,PaFAR-T,96,0.09885720000000002,500
S2,PaFAR-T,97,0.09885880000000002,500
S2,PaFAR-T,98,0.09885960000000005,500
S2,PaFAR-T,99,0.09886000000000005,500
S2,PaFAR-T,100,0.09886040000000004,500
S2,PaFAR-T,101,0.09886040000000004,500
S2,PaFAR-T,102,0.09886040000000004,500
S2,PaFAR-T,103,0.09886080000000004,500
S2,PaFAR-T,104,0.09886080000000004,500
S2,PaFAR-T,105,0.09886080000000004,500
S2,PaFAR-T,106,0.09886080000000004,500
S2,PaFAR-T,107,0.09886080000000004,500
S2,PaFAR-T,108,0.09886080000000004,500
S2,PaFAR-T,109,0.09886080000000004,500
S2,PaFAR-T,110,0.09886080000000004,500
S2,PaFAR-T,111,0.09886080000000004,500
S2,PaFAR-T,112,0.09886080000000004,500
S2,PaFAR-T,113,0.09886080000000004,500
S2,PaFAR-T,114,0.09886080000000004,500
S2,PaFAR-T,115,0.09886080000000004,500
S2,PaFAR-T,116,0.09886080000000004,500
S2,PaFAR-T,117,0.09886080000000004,500
S2,PaFAR-T,118,0.09886080000000004,500
S2,PaFAR-T,119,0.09886080000000004,500
S2,PaFAR-HC,0,0.0,500
S2,PaFAR-HC,1,0.0,500
S2,PaFAR-HC,2,0.0,500
S2,PaFAR-HC,3,0.0,500
S2,PaFAR-HC,4,0.0,500
S2,PaFAR-HC,5,0.007361199999999991,500
S2,PaFAR-HC,6,0.0094968,500
S2,PaFAR-HC,7,0.011561999999999998,500
S2,PaFAR-HC,8,0.013561599999999993,500
S2,PaFAR-HC,9,0.015508800000000005,500
S2,PaFAR-HC,10,0.017416399999999995,500
S2,PaFAR-HC,11,0.019248800000000028,500
S2,PaFAR-HC,12,0.021069199999999996,500
S2,PaFAR-HC,13,0.022844399999999994,500
S2,PaFAR-HC,14,0.024579199999999978,500
S2,PaFAR-HC,15,0.026294800000000028,500
S2,PaFAR-HC,16,0.027972399999999998,500
S2,PaFAR-HC,17,0.029618400000000003,500
S2,PaFAR-HC,18,0.0312976,500
S2,PaFAR-HC,19,0.032912000000000004,500
S2,PaFAR-HC,20,0.03446080000000003,500
S2,PaFAR-HC,21,0.03603199999999999,500
S2,PaFAR-HC,22,0.03758320000000002,500
S2,PaFAR-HC,23,0.0391264,500
S2,PaFAR-HC,24,0.04060320000000001,500
S2,PaFAR-HC,25,0.042106399999999974,500
S2,PaFAR-HC,26,0.04353160000000001,500
S2,PaFAR-HC,27,0.04499920000000005,500
S2,PaFAR-HC,28,0.04643800000000004,500
S2,PaFAR-HC,29,0.04788200000000002,500
S2,PaFAR-HC,30,0.04928880000000004,500
S2,PaFAR-HC,31,0.05074319999999998,500
S2,PaFAR-HC,32,0.052136400000000055,500
S2,PaFAR-HC,33,0.05351720000000003,500
S2,PaFAR-HC,34,0.05482360000000002,500
S2,PaFAR-HC,35,0.05612960000000001,500
S2,PaFAR-HC,36,0.057302400000000045,500
S2,PaFAR-HC,37,0.05844879999999995,500
S2,PaFAR-HC,38,0.059566799999999975,500
S2,PaFAR-HC,39,0.06059040000000003,500
S2,PaFAR-HC,40,0.06152279999999998,500
S2,PaFAR-HC,41,0.06241200000000004,500
S2,PaFAR-HC,42,0.06314839999999998,500
S2,PaFAR-HC,43,0.0638104,500
S2,PaFAR-HC,44,0.06438039999999998,500
S2,PaFAR-HC,45,0.06492159999999991,500
S2,PaFAR-HC,46,0.06540120000000008,500
S2,PaFAR-HC,47,0.06584,500
S2,PaFAR-HC,48,0.06624680000000001,500
S2,PaFAR-HC,49,0.06661000000000004,500
S2,PaFAR-HC,50,0.06695400000000003,500
S2,PaFAR-HC,51,0.06730799999999998,500
S2,PaFAR-HC,52,0.06765239999999995,500
S2,PaFAR-HC,53,0.06798079999999998,500
S2,PaFAR-HC,54,0.06831520000000002,500
S2,PaFAR-HC,55,0.06864399999999994,500
S2,PaFAR-HC,56,0.06896319999999995,500
